Report generated on: 12-29-2022 11:25:43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
API,,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
,total energy production (quad Btu),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INTL.44-1-MMR-QBTU.A,        Burma,0.086722588,0.082145061,0.093880147,0.097872829,0.107136952,0.107691617,0.105668048,0.091575717,0.079629728,0.087725588,0.083893093,0.086094413,0.08530534,0.091584626,0.102050288,0.10100009,0.096061428,0.094876863,0.101205839,0.089213025,0.165894955,0.276360967,0.380200943,0.422639154,0.454996444,0.56421729,0.563451254,0.594930645,0.5562489,0.527648276,0.55726994,0.574385735,0.581132823,0.602928859,0.706291956,0.784979671,0.848898148,0.836194288,0.800074107,0.803234367,0.789020702,0.76041827
INTL.44-1-BDI-QBTU.A,        Burundi,2.0776E-05,2.0906E-05,2.0908E-05,0.00024196,0.00040716,0.000480562,0.000637206,0.000979386,0.001063372,0.001064064,0.001113014,0.00114796,0.001075568,0.001113372,0.001176024,0.001206504,0.00120978,0.00122556,0.001111473,0.000991922,0.000999698,0.001177962,0.001281798,0.0010125,0.00090144,0.000949905,0.000912548,0.001146544,0.001093794,0.0011712,0.001433156,0.00131166,0.001398852,0.001412068,0.0014265,0.001369893,0.00143096,0.0018426,0.001491126,0.002074865,0.002051022,0.002051022
INTL.44-1-CPV-QBTU.A,        Cabo Verde,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000020618,0.00005158,0.000061872,0.00007238,0.000071491,0.000081576,0.000081808,0.000081608,0.000061998,0.000061038,0.000050625,0.000060096,0.000059994,0.000069433,0.000069188,0.000059124,0.00006832,0.000039024,0.0002429,0.000675636,0.000791903,0.0008559,0.000792115,0.000766256,0.000690975,0.000810256,0.000739115,0.000640429,0.000640429
INTL.44-1-KHM-QBTU.A,        Cambodia,0.000509012,0.000554009,0.00057497,0.000420801,0.0003132,0.000365645,0.00041784,0.000468855,0.0005162,0.000563328,0.000644924,0.000667904,0.000692914,0.000711321,0.000732436,0.000752776,0.00079618,0.000582141,0.00050985,0.000449944,0.000479447,0.000320323,0.00030519,0.000432338,0.000303485,0.000589941,0.000644735,0.00064246,0.000610948,0.000442128,0.000402923,0.000644171,0.005065367,0.009772846,0.017739003,0.019060151,0.024679906,0.025891294,0.043780499,0.037884542,0.039112666,0.039068359
INTL.44-1-CMR-QBTU.A,        Cameroon,0.140283804,0.207590875,0.257840721,0.268571596,0.31587664,0.425615865,0.408264462,0.401734119,0.380541942,0.396217174,0.376672764,0.359737711,0.331912689,0.301904506,0.261801892,0.269083231,0.264503308,0.300468262,0.294150959,0.250857856,0.219420523,0.201936304,0.183623663,0.180824851,0.182528079,0.216783282,0.226539332,0.218207447,0.219069837,0.206505485,0.190035609,0.181734991,0.187339182,0.177598051,0.221414994,0.278211156,0.266981351,0.234195821,0.25445193,0.285475806,0.281198929,0.266527587
INTL.44-1-CAN-QBTU.A,        Canada,10.15605745,9.962604945,9.955898659,10.20044612,11.16288673,11.82409685,11.72122593,12.35934295,13.18169674,13.08782322,13.16453864,13.7055947,14.21358734,15.11518618,16.03648618,16.50993936,16.9068465,17.04968763,17.02499775,17.28461919,17.73984851,17.85165854,18.18020978,18.0918367,18.48708891,18.80440353,19.13643722,19.48948425,18.88678175,18.18191666,18.22872901,18.66373378,19.08262012,19.93668902,20.75752642,20.91416582,21.10709605,22.69970072,23.60884128,23.45886067,22.63761484,23.40553976
INTL.44-1-CYM-QBTU.A,        Cayman Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000018464,0.000082917,0.00013656,0.000151385,0.000166687,0.000184233
INTL.44-1-CAF-QBTU.A,        Central African Republic,0.000685608,0.000679445,0.000710872,0.000673281,0.00072036,0.00062682,0.000793896,0.000760587,0.000763976,0.000771968,0.000790552,0.0007827,0.000796334,0.000793793,0.000814964,0.00082496,0.00083754,0.000847679,0.000825957,0.000828306,0.000846683,0.000847306,0.000834186,0.000840375,0.001241984,0.001329867,0.001378741,0.001344224,0.001340144,0.0013176,0.00130828,0.001421451,0.00142169,0.001310933,0.001601484,0.00156932,0.001563901,0.001385635,0.0013656,0.00133575,0.00131595,0.00131595
INTL.44-1-TCD-QBTU.A,        Chad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0821496,0.3895944,0.4023552,0.3596736,0.32843616,0.29042208,0.27210768,0.2790528,0.26184288,0.238709484,0.227846823,0.275676141,0.280231467,0.260526706,0.291517179,0.299712086,0.291701995,0.264674047,0.200439487
INTL.44-1-CHL-QBTU.A,        Chile,0.270717192,0.286899948,0.262572221,0.257488435,0.265911148,0.269922483,0.256580156,0.260324913,0.255205187,0.255644658,0.297822417,0.289530527,0.321672766,0.327227768,0.325342751,0.348904833,0.332439253,0.332707478,0.288119877,0.224178337,0.278243579,0.312524858,0.345509789,0.327603943,0.322412008,0.378980297,0.394978515,0.334456074,0.355240092,0.383564391,0.338352658,0.344788237,0.320998873,0.357313597,0.389289359,0.411211402,0.413739765,0.417043791,0.448248221,0.439011469,0.416613148,0.426590225
